Id;playerId;guess;score;session;createdAt;submissionOrder;level;lookedAtHelp;usedHelp;timeLookingAtHelp;version;month;day;hour;minute;second;ms;one;two;three;four;five;six;seven;eight
9181001;07b41c8973e84b3c7d5cf12e6e3eb562510b8a7e;[0, 0, 0, 0, 1, 1, 1, 1];12;1;2015-09-18T08:12:49.232Z;1;0;0;FALSE;0;0.2.3;9;18;8;12;49;232;0;0;0;0;1;1;1;1
9181001;07b41c8973e84b3c7d5cf12e6e3eb562510b8a7e;[0, 0, 0, 0, 0, 0, 0, 0];18;2;2015-09-18T08:13:13.987Z;1;1;0;FALSE;0;0.2.3;9;18;8;13;13;987;0;0;0;0;0;0;0;0
9181001;07b41c8973e84b3c7d5cf12e6e3eb562510b8a7e;[1, 1, 1, 1, 1, 1, 1, 1];18;2;2015-09-18T08:13:28.413Z;2;1;0;FALSE;0;0.2.3;9;18;8;13;28;413;1;1;1;1;1;1;1;1
9181001;07b41c8973e84b3c7d5cf12e6e3eb562510b8a7e;[1, 0, 1, 0, 1, 0, 1, 0];26;2;2015-09-18T08:13:36.726Z;3;1;0;FALSE;0;0.2.3;9;18;8;13;36;726;1;0;1;0;1;0;1;0
9181001;07b41c8973e84b3c7d5cf12e6e3eb562510b8a7e;[1, 0, 1, 1, 0, 1, 1, 0];28;2;2015-09-18T08:14:06.386Z;4;1;0;FALSE;0;0.2.3;9;18;8;14;6;386;1;0;1;1;0;1;1;0
9181001;07b41c8973e84b3c7d5cf12e6e3eb562510b8a7e;[1, 1, 1, 1, 0, 1, 1, 0];26;2;2015-09-18T08:14:35.757Z;5;1;0;FALSE;0;0.2.3;9;18;8;14;35;757;1;1;1;1;0;1;1;0
9181001;07b41c8973e84b3c7d5cf12e6e3eb562510b8a7e;[0, 1, 0, 1, 0, 1, 0, 1];26;2;2015-09-18T08:14:43.922Z;6;1;0;FALSE;0;0.2.3;9;18;8;14;43;922;0;1;0;1;0;1;0;1
9181001;07b41c8973e84b3c7d5cf12e6e3eb562510b8a7e;[1, 1, 1, 1, 0, 1, 1, 1];20;2;2015-09-18T08:14:53.855Z;7;1;0;FALSE;0;0.2.3;9;18;8;14;53;855;1;1;1;1;0;1;1;1
9181001;07b41c8973e84b3c7d5cf12e6e3eb562510b8a7e;[1, 1, 0, 1, 1, 0, 1, 1];22;2;2015-09-18T08:15:03.968Z;8;1;0;FALSE;0;0.2.3;9;18;8;15;3;968;1;1;0;1;1;0;1;1
9181001;07b41c8973e84b3c7d5cf12e6e3eb562510b8a7e;[1, 0, 0, 0, 0, 0, 0, 0];20;2;2015-09-18T08:16:11.307Z;9;1;0;FALSE;0;0.2.3;9;18;8;16;11;307;1;0;0;0;0;0;0;0
9181001;07b41c8973e84b3c7d5cf12e6e3eb562510b8a7e;[1, 1, 0, 0, 0, 0, 0, 0];18;2;2015-09-18T08:16:15.467Z;10;1;0;FALSE;0;0.2.3;9;18;8;16;15;467;1;1;0;0;0;0;0;0
9181001;07b41c8973e84b3c7d5cf12e6e3eb562510b8a7e;[1, 0, 1, 0, 0, 0, 0, 0];22;2;2015-09-18T08:16:18.539Z;11;1;0;FALSE;0;0.2.3;9;18;8;16;18;539;1;0;1;0;0;0;0;0
9181001;07b41c8973e84b3c7d5cf12e6e3eb562510b8a7e;[1, 0, 1, 1, 1, 1, 1, 1];20;2;2015-09-18T08:16:24.744Z;12;1;0;FALSE;0;0.2.3;9;18;8;16;24;744;1;0;1;1;1;1;1;1
9181001;07b41c8973e84b3c7d5cf12e6e3eb562510b8a7e;[1, 0, 1, 0, 1, 1, 1, 1];22;2;2015-09-18T08:16:28.548Z;13;1;0;FALSE;0;0.2.3;9;18;8;16;28;548;1;0;1;0;1;1;1;1
